OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,COD_DISTRI,TIPO_DISTR,CODIGO_C17,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Area,Shape__Length,SUPERFICIE__KM2_,Densidad
443,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13404,PAINE,4,MIXTO,1340404,1282,1222,2504,329,328,657,1611,1550,3161,263,1602,1865,0.63345651,204120978.869141,77765.2500226,140.51757813,22.4954052
444,7,REGIÓN DEL MAULE,72,CAUQUENES,7201,CAUQUENES,5,MIXTO,720105,0,0,0,1428,1740,3168,1428,1740,3168,1432,2,1434,0.11059623,3960422.94726563,13003.63137366,2.56890965,1233.20800781
445,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6306,PALMILLA,1,MIXTO,630601,422,420,842,1151,1215,2366,1573,1635,3208,834,325,1159,0.2028465,20902315.0253906,25226.29600188,14.18080139,226.22134399
446,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6301,SAN FERNANDO,13,URBANO,630113,0,0,0,1508,1717,3225,1508,1717,3225,1413,0,1413,0.05888262,1954498.39648438,7205.0154786,1.32304394,2437.56079102
447,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6302,CHÉPICA,2,RURAL,630202,410,373,783,1234,1251,2485,1644,1624,3268,1003,324,1327,0.37155028,65175750.0527344,44639.82710173,43.91889572,74.40988159
448,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13503,CURACAVÍ,7,RURAL,1350307,854,837,1691,806,784,1590,1660,1621,3281,495,597,1092,0.49250024,89370047.421875,57709.56021895,62.10264587,52.83189011
449,7,REGIÓN DEL MAULE,74,LINARES,7403,LONGAVÍ,6,MIXTO,740306,743,664,1407,952,926,1878,1695,1590,3285,679,519,1198,0.47425103,94153251.8457031,58523.03329782,61.56388855,53.35920334
450,7,REGIÓN DEL MAULE,74,LINARES,7408,YERBAS BUENAS,1,MIXTO,740801,538,530,1068,1105,1134,2239,1643,1664,3307,850,432,1282,0.32749686,40107944.1542969,38651.97997053,26.43599129,125.09461212
451,7,REGIÓN DEL MAULE,74,LINARES,7408,YERBAS BUENAS,7,RURAL,740807,1294,1228,2522,384,409,793,1678,1637,3315,273,993,1266,0.28678172,71906054.6601562,35096.35247055,47.38125229,69.96438599
452,7,REGIÓN DEL MAULE,74,LINARES,7407,VILLA ALEGRE,2,MIXTO,740702,283,306,589,1263,1464,2727,1546,1770,3316,1157,275,1432,0.18022141,26091951.3105469,21859.29184125,17.12193108,193.66973877
453,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13503,CURACAVÍ,3,RURAL,1350303,1701,1617,3318,0,0,0,1701,1617,3318,0,1122,1122,0.4647947,137173927.378906,54803.15266853,95.11061859,34.88569641
454,7,REGIÓN DEL MAULE,73,CURICÓ,7301,CURICÓ,17,MIXTO,730117,268,247,515,1447,1432,2879,1715,1679,3394,981,206,1187,0.26265555,57173230.8808594,32821.38580655,38.18370056,88.88610077
455,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6308,PLACILLA,1,MIXTO,630801,527,511,1038,1197,1172,2369,1724,1683,3407,842,376,1218,0.23657439,30716525.2421875,28233.31178825,20.7277813,164.36877441
456,13,REGIÓN METROPOLITANA DE SANTIAGO,133,CHACABUCO,13301,COLINA,5,RURAL,1330105,1244,1173,2417,530,491,1021,1774,1664,3438,336,833,1169,0.85963862,489512408.382812,101250.0095516,343.09564209,10.02052975
457,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13106,ESTACIÓN CENTRAL,2,URBANO,1310602,0,0,0,1737,1754,3491,1737,1754,3491,1180,0,1180,0.05096397,1743517.421875,6019.24038535,1.22761607,2843.72290039
458,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13501,MELIPILLA,10,RURAL,1350110,1228,1159,2387,546,566,1112,1774,1725,3499,361,1000,1361,0.42478367,94210485.0800781,49227.81288856,65.20848846,53.65866089
459,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6303,CHIMBARONGO,2,MIXTO,630302,335,297,632,1439,1451,2890,1774,1748,3522,1061,247,1308,0.26248025,42831250.9707031,32399.56281837,28.9083519,121.83330536
460,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13107,HUECHURABA,5,URBANO,1310705,0,0,0,1745,1787,3532,1745,1787,3532,1533,0,1533,0.09582351,5541457.8359375,11330.94296052,3.8693068,912.82501221
461,7,REGIÓN DEL MAULE,74,LINARES,7406,SAN JAVIER,2,MIXTO,740602,55,40,95,1622,1817,3439,1677,1857,3534,1295,49,1344,0.17508802,19574118.4296875,21043.79295776,13.02377605,271.34988403
462,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,23,URBANO,1310123,0,0,0,1786,1749,3535,1786,1749,3535,1442,0,1442,0.04515843,1571223.55273438,5580.76552794,1.08621001,3254.43505859
463,7,REGIÓN DEL MAULE,72,CAUQUENES,7203,PELLUHUE,1,MIXTO,720301,261,237,498,1463,1577,3040,1724,1814,3538,2868,420,3288,0.77583733,197012935.824219,92382.49963905,129.2993927,27.3628521
464,7,REGIÓN DEL MAULE,73,CURICÓ,7308,TENO,4,MIXTO,730804,1637,1443,3080,246,244,490,1883,1687,3570,151,1187,1338,0.35999103,80373575.8105469,43276.49548888,54.01750565,66.08968353
465,7,REGIÓN DEL MAULE,74,LINARES,7401,LINARES,1,URBANO,740101,0,0,0,1629,1949,3578,1629,1949,3578,1512,0,1512,0.05210451,1952206.05664063,6347.68981759,1.27879417,2797.94824219
466,7,REGIÓN DEL MAULE,71,TALCA,7101,TALCA,1,URBANO,710101,0,0,0,2053,1529,3582,2053,1529,3582,1565,0,1565,0.05253077,1679992.92773438,6434.46609589,1.12520063,3183.43212891
467,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6304,LOLOL,1,MIXTO,630401,637,587,1224,1152,1230,2382,1789,1817,3606,993,570,1563,0.75140918,244428350.070312,89971.23849593,164.9069519,21.8668766
468,7,REGIÓN DEL MAULE,71,TALCA,7109,SAN CLEMENTE,2,MIXTO,710902,1193,1185,2378,610,640,1250,1803,1825,3628,453,830,1283,0.2394683,40598276.5722656,29268.09814808,26.91625977,134.78840637
469,7,REGIÓN DEL MAULE,74,LINARES,7402,COLBÚN,8,MIXTO,740208,777,819,1596,968,1089,2057,1745,1908,3653,878,657,1535,0.60047615,119171783.611328,69745.99998962,78.32756042,46.63747787
470,7,REGIÓN DEL MAULE,73,CURICÓ,7307,SAGRADA FAMILIA,1,MIXTO,730701,254,245,499,1567,1623,3190,1821,1868,3689,1109,178,1287,0.26033997,50482875.2714844,33233.13264914,33.83875275,109.01702881
471,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6109,MALLOA,3,MIXTO,610903,692,618,1310,1245,1228,2473,1937,1846,3783,892,488,1380,0.37456742,44913771.9375,45350.31520193,30.50876999,123.99713135
472,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6305,NANCAGUA,5,MIXTO,630505,628,607,1235,1263,1297,2560,1891,1904,3795,862,438,1300,0.23544168,31595255.9921875,28079.18263598,21.39384079,177.38751221
473,7,REGIÓN DEL MAULE,71,TALCA,7105,MAULE,4,RURAL,710504,1920,1880,3800,0,0,0,1920,1880,3800,0,1408,1408,0.31805629,59648612.8457031,38705.26443022,39.50925827,96.17999268
474,7,REGIÓN DEL MAULE,71,TALCA,7102,CONSTITUCIÓN,1,URBANO,710201,0,0,0,1921,1892,3813,1921,1892,3813,1670,0,1670,0.1286821,3281599.0390625,15316.35983127,2.19483232,1737.26245117
475,7,REGIÓN DEL MAULE,73,CURICÓ,7307,SAGRADA FAMILIA,9,RURAL,730709,1872,1857,3729,51,57,108,1923,1914,3837,33,1341,1374,0.47830649,130000986.048828,57732.16779358,87.07207489,44.06694031
476,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11401,CHILE CHICO,1,MIXTO,1140101,446,284,730,1569,1560,3129,2015,1844,3859,1419,404,1823,1.55803477,2184683599.33594,201546.9760925,1031.91113281,3.73966289
477,7,REGIÓN DEL MAULE,73,CURICÓ,7306,ROMERAL,2,RURAL,730602,1991,1885,3876,0,0,0,1991,1885,3876,0,1354,1354,0.36500499,70599236.6367188,44090.3416183,47.29771423,81.94898987
478,7,REGIÓN DEL MAULE,71,TALCA,7103,CUREPTO,1,RURAL,710301,271,249,520,1631,1737,3368,1902,1986,3888,1472,253,1725,0.37587712,76018394.1582031,44793.71588169,50.84209442,76.47206879
479,7,REGIÓN DEL MAULE,71,TALCA,7101,TALCA,5,URBANO,710105,0,0,0,1799,2120,3919,1799,2120,3919,1529,0,1529,0.03542029,1052716.4140625,4150.34154114,0.68863249,5690.98925781
480,7,REGIÓN DEL MAULE,71,TALCA,7101,TALCA,3,URBANO,710103,0,0,0,1851,2079,3930,1851,2079,3930,1728,0,1728,0.04455851,1609712.4296875,5315.72630059,1.05851531,3712.74731445
481,7,REGIÓN DEL MAULE,74,LINARES,7408,YERBAS BUENAS,6,RURAL,740806,1530,1492,3022,463,480,943,1993,1972,3965,338,1110,1448,0.2985756,73494407.1132812,35916.7354906,48.40106201,81.91968536
482,7,REGIÓN DEL MAULE,71,TALCA,7107,PENCAHUE,1,MIXTO,710701,294,261,555,1691,1742,3433,1985,2003,3988,1253,250,1503,0.5391374,125779366.220703,64540.96578425,83.50611115,47.7569809
483,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6301,SAN FERNANDO,2,MIXTO,630102,611,554,1165,1432,1394,2826,2043,1948,3991,983,407,1390,0.31171458,45110991.1816406,38520.19031097,30.46243858,131.0138092
484,7,REGIÓN DEL MAULE,71,TALCA,7102,CONSTITUCIÓN,4,RURAL,710204,976,935,1911,1027,1056,2083,2003,1991,3994,877,918,1795,1.29270993,556642454.076172,154970.84617139,371.05535889,10.76389217
485,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6108,MACHALÍ,1,MIXTO,610801,228,225,453,1720,1857,3577,1948,2082,4030,1275,187,1462,0.24307948,28712630.7382812,29351.93021917,19.65437508,205.04341125
486,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13127,RECOLETA,3,URBANO,1312703,0,0,0,2058,1980,4038,2058,1980,4038,1305,0,1305,0.05658657,2181178.71289063,6816.85515543,1.5060941,2681.10742188
487,13,REGIÓN METROPOLITANA DE SANTIAGO,136,TALAGANTE,13602,EL MONTE,3,MIXTO,1360203,1046,1002,2048,1018,978,1996,2064,1980,4044,625,752,1377,0.22647541,30409920.6582031,26294.67619175,20.97299767,192.81936646
488,7,REGIÓN DEL MAULE,73,CURICÓ,7303,LICANTÉN,1,MIXTO,730301,437,371,808,1597,1712,3309,2034,2083,4117,1362,351,1713,0.50215596,117801877.951172,58715.46726062,78.93437195,52.15724945
489,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6102,CODEGUA,2,RURAL,610202,1939,1841,3780,189,156,345,2128,1997,4125,111,1226,1337,0.45663751,151477003.597656,54735.85166959,103.46507263,39.86852646
490,7,REGIÓN DEL MAULE,73,CURICÓ,7307,SAGRADA FAMILIA,3,RURAL,730703,1147,1097,2244,934,959,1893,2081,2056,4137,689,804,1493,0.30243413,21143378.5195312,35158.8490854,14.10913277,293.21432495
491,13,REGIÓN METROPOLITANA DE SANTIAGO,136,TALAGANTE,13604,PADRE HURTADO,2,RURAL,1360402,2150,1987,4137,0,0,0,2150,1987,4137,0,1334,1334,0.2978718,56832849.984375,35736.97905898,39.37406158,105.06916809
492,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13404,PAINE,7,RURAL,1340407,1468,1440,2908,639,622,1261,2107,2062,4169,402,928,1330,0.30616995,72844076.0761719,37011.79388537,50.28025055,82.91526031
493,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6101,RANCAGUA,18,RURAL,610118,2875,1320,4195,0,0,0,2875,1320,4195,0,802,802,0.37772968,59528560.7324219,45922.35732842,40.73612976,102.97983551
494,7,REGIÓN DEL MAULE,73,CURICÓ,7301,CURICÓ,12,MIXTO,730112,1022,1001,2023,1079,1098,2177,2101,2099,4200,732,706,1438,0.37875126,61298985.7011719,46308.64944484,41.05166626,102.31010437
495,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13404,PAINE,5,RURAL,1340405,1629,1555,3184,516,504,1020,2145,2059,4204,325,1223,1548,0.53942621,152431418.84375,63443.91202134,104.85953522,40.09172821
496,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6113,PICHIDEGUA,5,MIXTO,611305,331,252,583,1901,1765,3666,2232,2017,4249,1360,253,1613,0.39878373,78184394.96875,47853.86862016,53.27362823,79.75804138
497,7,REGIÓN DEL MAULE,71,TALCA,7106,PELARCO,1,MIXTO,710601,875,815,1690,1249,1333,2582,2124,2148,4272,916,724,1640,0.47997752,133214396.103516,58481.85233318,88.38276672,48.33521271
498,7,REGIÓN DEL MAULE,71,TALCA,7101,TALCA,16,MIXTO,710116,1364,1272,2636,791,853,1644,2155,2125,4280,442,916,1358,0.28492592,57973964.8417969,34889.85298157,38.3972435,111.46633148
499,7,REGIÓN DEL MAULE,74,LINARES,7403,LONGAVÍ,10,RURAL,740310,2226,2071,4297,0,0,0,2226,2071,4297,0,1610,1610,0.52255302,169190398.132812,62812.20184515,110.41552734,38.91662979
500,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6204,MARCHIHUE,1,MIXTO,620401,1075,986,2061,1053,1185,2238,2128,2171,4299,1048,1030,2078,1.16080951,528283757.582031,138139.93243532,359.4107666,11.96124458
501,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13127,RECOLETA,10,URBANO,1312710,0,0,0,2244,2158,4402,2244,2158,4402,2644,0,2644,0.05113893,1297223.55273438,6228.97092864,0.91127247,4830.60791016
502,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13501,MELIPILLA,7,RURAL,1350107,2270,2188,4458,0,0,0,2270,2188,4458,0,1458,1458,0.45739313,114383920.142578,53928.44267971,78.75636292,56.60494995
503,7,REGIÓN DEL MAULE,74,LINARES,7406,SAN JAVIER,7,MIXTO,740607,249,220,469,1974,2052,4026,2223,2272,4495,1582,221,1803,0.21825186,35255109.9316406,26530.48621312,23.31808472,192.76882935
504,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13403,CALERA DE TANGO,2,MIXTO,1340302,1500,1522,3022,745,785,1530,2245,2307,4552,474,940,1414,0.2004685,28143541.1054688,24227.2199482,19.57941818,232.48902893
505,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13131,SAN RAMÓN,2,URBANO,1313102,0,0,0,2250,2310,4560,2250,2310,4560,1400,0,1400,0.02842813,698217.91601563,3401.07895095,0.50391984,9049.05859375
506,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13404,PAINE,9,MIXTO,1340409,1561,1567,3128,732,705,1437,2293,2272,4565,518,1166,1684,0.63730792,194659149.806641,76727.25379872,133.68928528,34.14633942
507,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13504,MARÍA PINTO,1,MIXTO,1350401,1330,1292,2622,975,1000,1975,2305,2292,4597,732,958,1690,0.75642426,231675866.851562,88326.63374578,160.80711365,28.58704376
508,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13403,CALERA DE TANGO,4,RURAL,1340304,2235,2268,4503,80,65,145,2315,2333,4648,38,1271,1309,0.17591214,22727319.0859375,21099.21509525,15.85540867,293.14916992
509,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13107,HUECHURABA,6,URBANO,1310706,0,0,0,2371,2336,4707,2371,2336,4707,1277,0,1277,0.06046417,3294124.375,7358.35744557,2.31993604,2028.93530273
510,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6111,OLIVAR,2,MIXTO,611102,1407,1404,2811,945,969,1914,2352,2373,4725,689,924,1613,0.20139881,32786071.2109375,24094.747731,22.34583473,211.44880676
511,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13112,LA PINTANA,1,URBANO,1311201,0,0,0,2458,2278,4736,2458,2278,4736,1583,0,1583,0.16214117,17690290.6152344,19724.4172934,12.24035168,386.91699219
512,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6310,SANTA CRUZ,7,MIXTO,631007,709,677,1386,1631,1744,3375,2340,2421,4761,1299,537,1836,0.17729266,18607124.0976562,20908.45791763,12.53972816,379.67330933
513,7,REGIÓN DEL MAULE,74,LINARES,7403,LONGAVÍ,5,RURAL,740305,2475,2300,4775,0,0,0,2475,2300,4775,0,1980,1980,0.63913623,235445466.595703,77249.9518422,154.04998779,30.99643326
514,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6115,RENGO,8,MIXTO,611508,114,147,261,2335,2258,4593,2449,2405,4854,1602,88,1690,0.15735992,17147597.2480469,19147.89581373,11.57175732,419.46954346
515,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6105,DOÑIHUE,3,MIXTO,610503,656,598,1254,1816,1845,3661,2472,2443,4915,1314,514,1828,0.23894938,42851830.2695312,29214.53229075,29.27840233,167.8711853
516,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6104,COLTAUCO,6,MIXTO,610406,440,402,842,2030,2063,4093,2470,2465,4935,1367,368,1735,0.20699818,21686299.3164062,24362.75925951,14.77528191,334.00378418
517,7,REGIÓN DEL MAULE,71,TALCA,7105,MAULE,1,MIXTO,710501,84,89,173,2341,2441,4782,2425,2530,4955,1693,76,1769,0.08748803,3594652.09179688,11122.36785029,2.38921595,2073.90209961
518,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6115,RENGO,2,MIXTO,611502,102,103,205,2426,2361,4787,2528,2464,4992,1818,89,1907,0.16697908,16520808.78125,19544.32144361,11.21291828,445.20080566
519,7,REGIÓN DEL MAULE,73,CURICÓ,7304,MOLINA,6,MIXTO,730406,907,794,1701,1618,1698,3316,2525,2492,5017,1209,650,1859,0.31780653,41547356.3027344,37521.17523293,27.72509956,180.95516968
520,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6117,SAN VICENTE,3,MIXTO,611703,1194,1138,2332,1375,1330,2705,2569,2468,5037,921,915,1836,0.35992424,91643630.9863281,43291.43027492,62.09721375,81.11475372
521,13,REGIÓN METROPOLITANA DE SANTIAGO,132,CORDILLERA,13202,PIRQUE,2,MIXTO,1320202,1725,1607,3332,840,903,1743,2565,2510,5075,561,1170,1731,0.52324757,184681511.501953,62521.81153549,127.60942078,39.76979065
522,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13108,INDEPENDENCIA,7,URBANO,1310807,0,0,0,2589,2501,5090,2589,2501,5090,1955,0,1955,0.03666118,788828.3203125,4639.338882,0.54433429,9350.87109375
523,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13401,SAN BERNARDO,1,URBANO,1340101,0,0,0,2411,2689,5100,2411,2689,5100,2045,0,2045,0.04403408,1764443.23828125,5383.69532906,1.21876788,4184.55419922
524,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,25,URBANO,1310125,0,0,0,2652,2498,5150,2652,2498,5150,1642,0,1642,0.03061579,834373.61328125,3725.39418988,0.58154035,8855.79199219
525,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13504,MARÍA PINTO,2,RURAL,1350402,1498,1460,2958,1081,1120,2201,2579,2580,5159,693,1075,1768,0.34390764,69303028.96875,40594.20555952,48.09580994,107.26506042
526,7,REGIÓN DEL MAULE,74,LINARES,7405,RETIRO,6,RURAL,740506,2629,2533,5162,0,0,0,2629,2533,5162,0,2105,2105,0.61495615,173054883.193359,71252.38706686,112.49739075,45.88550949
527,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13501,MELIPILLA,3,RURAL,1350103,1769,1668,3437,878,855,1733,2647,2523,5170,602,1228,1830,0.89295882,233395688.318359,104964.0719162,160.94116211,32.12354279
528,13,REGIÓN METROPOLITANA DE SANTIAGO,132,CORDILLERA,13203,SAN JOSÉ DE MAIPO,6,MIXTO,1320306,1141,1029,2170,1509,1523,3032,2650,2552,5202,1169,868,2037,0.54234142,160210198.220703,65129.96019097,111.12767029,46.81102371
529,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6101,RANCAGUA,4,URBANO,610104,0,0,0,2466,2749,5215,2466,2749,5215,2476,0,2476,0.03642824,1293088.41796875,4549.13629684,0.88632298,5883.85986328
530,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13501,MELIPILLA,15,RURAL,1350115,2714,2571,5285,0,0,0,2714,2571,5285,0,2157,2157,0.46997107,110935130.998047,54359.17094131,76.56741333,69.0241394
531,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13403,CALERA DE TANGO,1,MIXTO,1340301,1684,1626,3310,1070,983,2053,2754,2609,5363,628,987,1615,0.17801704,19516402.0449219,21907.3568123,13.47057343,398.1270752
532,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13106,ESTACIÓN CENTRAL,9,URBANO,1310609,0,0,0,2552,2822,5374,2552,2822,5374,1782,0,1782,0.0335545,795504.06445313,4037.43730838,0.52243835,10286.38085938
533,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13105,EL BOSQUE,3,URBANO,1310503,0,0,0,2651,2799,5450,2651,2799,5450,1707,0,1707,0.04149899,1109705.86914063,5174.01994588,0.76772344,7098.91064453
534,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13404,PAINE,3,MIXTO,1340403,2121,1977,4098,733,726,1459,2854,2703,5557,490,1370,1860,0.23204516,42232152.1191406,28415.55113933,29.05726624,191.24304199
535,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13402,BUIN,6,MIXTO,1340206,1651,1550,3201,1191,1171,2362,2842,2721,5563,692,960,1652,0.29948093,47682239.1230469,35667.79983321,32.92097855,168.98039246
536,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13116,LO ESPEJO,5,URBANO,1311605,0,0,0,2781,2828,5609,2781,2828,5609,1547,0,1547,0.03038718,547486.578125,3565.41389162,0.376571,14894.93359375
537,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13501,MELIPILLA,9,RURAL,1350109,2936,2745,5681,0,0,0,2936,2745,5681,0,2007,2007,0.37154435,68977085.6289062,43140.34224189,47.61894989,119.30124664
538,7,REGIÓN DEL MAULE,73,CURICÓ,7301,CURICÓ,2,URBANO,730102,0,0,0,2671,3074,5745,2671,3074,5745,2230,0,2230,0.05371206,2003849.52929688,6705.44701582,1.34088767,4284.47509766
539,7,REGIÓN DEL MAULE,74,LINARES,7407,VILLA ALEGRE,1,MIXTO,740701,226,196,422,2551,2881,5432,2777,3077,5854,2271,188,2459,0.20437805,28769191.2421875,25111.068583,18.9997921,308.10864258
540,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13121,PEDRO AGUIRRE CERDA,8,URBANO,1312108,0,0,0,2789,3090,5879,2789,3090,5879,1636,0,1636,0.03938736,646287.61914063,4656.58933669,0.4426499,13281.37695313
541,7,REGIÓN DEL MAULE,74,LINARES,7401,LINARES,2,URBANO,740102,0,0,0,2788,3131,5919,2788,3131,5919,2154,0,2154,0.04847501,1973789.7734375,5976.69442146,1.28330684,4612.30322266
542,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13128,RENCA,4,URBANO,1312804,0,0,0,2940,3012,5952,2940,3012,5952,1927,0,1927,0.07056415,2485439.56640625,8723.69554844,1.75480294,3391.83398438
543,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13404,PAINE,2,MIXTO,1340402,771,697,1468,2252,2286,4538,3023,2983,6006,1372,531,1903,0.63783754,145882407.580078,75689.99179689,100.41677094,59.81072998
544,7,REGIÓN DEL MAULE,73,CURICÓ,7308,TENO,5,RURAL,730805,3181,2866,6047,0,0,0,3181,2866,6047,0,2209,2209,0.43511849,133389740.808594,52255.25545831,89.60060883,67.48838043
545,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6105,DOÑIHUE,4,MIXTO,610504,439,379,818,2647,2692,5339,3086,3071,6157,1887,280,2167,0.18998386,23074795.9628906,23462.98577836,15.72864151,391.45147705
546,7,REGIÓN DEL MAULE,73,CURICÓ,7301,CURICÓ,11,MIXTO,730111,2248,2123,4371,973,892,1865,3221,3015,6236,643,1482,2125,0.41937705,125316864.818359,51004.24031021,83.84325409,74.37688446
547,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13106,ESTACIÓN CENTRAL,12,URBANO,1310612,0,0,0,3085,3205,6290,3085,3205,6290,2282,0,2282,0.03882945,1277045.6328125,4622.02524237,0.88570213,7101.71044922
548,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6307,PERALILLO,1,MIXTO,630701,509,478,987,2622,2682,5304,3131,3160,6291,1983,448,2431,0.59701765,165934248.201172,72022.23978068,112.6071167,55.86680603
549,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13126,QUINTA NORMAL,4,URBANO,1312604,0,0,0,3102,3210,6312,3102,3210,6312,2558,0,2558,0.03714553,1149933.92382813,4402.4976708,0.80813944,7810.53369141
550,13,REGIÓN METROPOLITANA DE SANTIAGO,133,CHACABUCO,13303,TILTIL,1,MIXTO,1330301,412,352,764,2760,2789,5549,3172,3141,6313,1810,293,2103,0.566535,204258292.162109,68322.39568834,142.98857117,44.150383
551,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13501,MELIPILLA,16,MIXTO,1350116,547,499,1046,2667,2641,5308,3214,3140,6354,1686,396,2082,0.3704519,62674971.4824219,43367.82076152,43.37039185,146.50547791
552,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13113,LA REINA,2,URBANO,1311302,0,0,0,2902,3469,6371,2902,3469,6371,2437,0,2437,0.04971304,1420700.49609375,6034.56184854,1.01104391,6301.40771484
553,7,REGIÓN DEL MAULE,74,LINARES,7404,PARRAL,4,MIXTO,740404,12,13,25,2955,3402,6357,2967,3415,6382,2517,14,2531,0.07580066,3075091.29296875,9837.48239771,2.07114506,3081.38720703
